[-0.00010971],[-0.00013836],[0.7976141]
[-0.00011116],[-0.00014055],[0.79587751]
[-0.00011261],[-0.00014275],[0.79414303]
[-0.00011407],[-0.00014497],[0.79241065]
[-0.00011552],[-0.00014722],[0.79068039]
[-0.00011697],[-0.00014948],[0.78895222]
[-0.00011843],[-0.00015176],[0.78722616]
[-0.00011988],[-0.00015406],[0.78550221]
[-0.00012134],[-0.00015637],[0.78378035]
[-0.0001228],[-0.00015871],[0.78206059]
[-0.00012425],[-0.00016107],[0.78034292]
[-0.00012571],[-0.00016344],[0.77862735]
[-0.00012716],[-0.00016584],[0.77691386]
[-0.00012862],[-0.00016825],[0.77520247]
[-0.00013008],[-0.00017068],[0.77349317]
[-0.00013153],[-0.00017313],[0.77178595]
[-0.00013299],[-0.0001756],[0.77008081]
[-0.00013444],[-0.00017809],[0.76837776]
[-0.0001359],[-0.0001806],[0.76667678]
[-0.00013735],[-0.00018313],[0.76497789]
[-0.0001388],[-0.00018568],[0.76328107]
[-0.00014026],[-0.00018825],[0.76158632]
[-0.00014171],[-0.00019084],[0.75989365]
[-0.00014316],[-0.00019344],[0.75820304]
[-0.0001446],[-0.00019607],[0.75651451]
[-0.00014605],[-0.00019871],[0.75482804]
[-0.0001475],[-0.00020138],[0.75314363]
[-0.00014894],[-0.00020406],[0.75146129]
[-0.00015038],[-0.00020676],[0.74978101]
[-0.00015183],[-0.00020948],[0.74810278]
[-0.00015327],[-0.00021223],[0.74642662]
[-0.0001547],[-0.00021499],[0.74475251]
[-0.00015614],[-0.00021777],[0.74308045]
[-0.00015757],[-0.00022057],[0.74141044]
[-0.00015901],[-0.00022339],[0.73974248]
[-0.00016044],[-0.00022622],[0.73807657]
[-0.00016186],[-0.00022908],[0.7364127]
[-0.00016329],[-0.00023196],[0.73475088]
[-0.00016471],[-0.00023486],[0.7330911]
[-0.00016614],[-0.00023777],[0.73143336]
[-0.00016755],[-0.00024071],[0.72977765]
[-0.00016897],[-0.00024366],[0.72812399]
[-0.00017039],[-0.00024664],[0.72647235]
[-0.0001718],[-0.00024963],[0.72482275]
[-0.00017321],[-0.00025264],[0.72317518]
[-0.00017461],[-0.00025567],[0.72152964]
[-0.00017601],[-0.00025873],[0.71988612]
[-0.00017741],[-0.0002618],[0.71824463]
[-0.00017881],[-0.00026489],[0.71660516]
[-0.00018021],[-0.000268],[0.71496771]
[-0.0001816],[-0.00027113],[0.71333228]
[-0.00018299],[-0.00027427],[0.71169886]
[-0.00018437],[-0.00027744],[0.71006746]
[-0.00018575],[-0.00028063],[0.70843808]
[-0.00018713],[-0.00028383],[0.7068107]
[-0.00018851],[-0.00028706],[0.70518534]
[-0.00018988],[-0.0002903],[0.70356198]
[-0.00019125],[-0.00029357],[0.70194063]
[-0.00019261],[-0.00029685],[0.70032128]
[-0.00019398],[-0.00030015],[0.69870394]
[-0.00019534],[-0.00030347],[0.69708859]
[-0.00019669],[-0.00030681],[0.69547524]
[-0.00019804],[-0.00031017],[0.69386389]
[-0.00019939],[-0.00031355],[0.69225453]
[-0.00020073],[-0.00031695],[0.69064717]
[-0.00020207],[-0.00032037],[0.6890418]
[-0.00020341],[-0.0003238],[0.68743841]
[-0.00020474],[-0.00032726],[0.68583701]
[-0.00020607],[-0.00033073],[0.6842376]
[-0.00020739],[-0.00033422],[0.68264017]
[-0.00020872],[-0.00033773],[0.68104472]
